Sample Size (n),Budget,Reach_CDE,CTR_CDE,Sparsity_CDE,Reach_CLasso,CTR_CLasso,Sparsity_CLasso
200,10.0,1.337987356242465e-06,7.82594189452368e-09,65,7.55463433699255e-07,4.283270960137031e-09,7
200,35.78947368421053,1.3417334442822337e-05,8.034418075286709e-08,89,2.2980663778593424e-06,1.2947368288607208e-08,30
200,61.578947368421055,3.828027208074847e-05,2.1216272982904627e-07,94,5.629267977091956e-06,3.331043529897215e-08,48
200,87.36842105263159,3.795975023845877e-05,2.1252151150008558e-07,93,8.050395795988763e-06,4.553087740166717e-08,66
200,113.15789473684211,0.0005427504821475804,5.428397599316348e-06,91,1.0605979227085172e-05,5.796865565343978e-08,82
200,138.94736842105263,0.0011093197749930672,1.1216854632123407e-05,93,1.1902733527024978e-05,6.510789174463127e-08,97
200,164.73684210526318,2.9487736699862488e-05,1.7973462118625605e-07,91,1.7291932853602532e-05,9.28683056011792e-08,120
200,190.5263157894737,9.248769978820182e-05,2.702307243529489e-07,92,1.9968677683501745e-05,1.0153778118304757e-07,138
200,216.31578947368422,0.00012423987757759214,2.6881735948336427e-07,87,2.4522472801935535e-05,1.1075212602573714e-07,150
200,242.10526315789474,5.330178642759531e-05,3.119282355745767e-07,100,2.745090268452266e-05,1.4811845649997935e-07,150
200,267.89473684210526,2.084474014163451e-05,1.2103746571678897e-07,91,2.3887642058850744e-05,1.2993801234983948e-07,150
200,293.6842105263158,0.00018162436501545365,5.001190374054332e-07,96,2.27432550351514e-05,1.1228663121531923e-07,150
200,319.47368421052636,0.00021782289272942457,1.602297915348494e-06,95,2.904204212550443e-05,1.7682741959568204e-07,150
200,345.2631578947369,0.0002486890203743375,1.8074955928648606e-06,91,4.433672262427191e-05,2.5226091648899995e-07,150
200,371.0526315789474,5.356074132301103e-05,5.091786100530626e-07,89,5.744374936011987e-05,3.001891656362332e-07,150
200,396.8421052631579,5.198612361478894e-05,2.9614089913643227e-07,94,5.369207737138115e-05,2.788210029525118e-07,150
200,422.63157894736844,0.0012496893726743341,1.2556540062269583e-05,88,5.591253414283237e-05,3.019504468682044e-07,150
200,448.42105263157896,5.346943348560895e-05,4.1681706297591603e-07,94,5.849210086561474e-05,3.303446632907381e-07,150
200,474.2105263157895,7.409517236323104e-05,4.640902059316332e-07,94,6.680984518259159e-05,3.225559435104941e-07,150
200,500.0,6.0300629283860374e-05,4.6901778261165816e-07,92,3.671452812459286e-05,1.8414387470411242e-07,150
1000,10.0,1.0981010829524962e-06,7.355881126436259e-09,144,7.82068581450801e-07,3.878707799387371e-09,6
1000,35.78947368421053,3.4650473256236936e-06,1.9626344327505763e-08,172,2.0857095210935483e-06,1.1870155414150929e-08,21
1000,61.578947368421055,4.650773993808421e-06,2.5647986734433914e-08,176,3.325630675621305e-06,1.914245051359842e-08,43
1000,87.36842105263159,4.421873219362382e-06,2.847634339442351e-08,161,4.586319458876886e-06,2.4915668417335723e-08,63
1000,113.15789473684211,3.786855297338576e-06,2.3591171571801794e-08,174,6.198896775111429e-06,3.274229709582244e-08,91
1000,138.94736842105263,3.5527188788631037e-06,2.123387021768508e-08,166,7.860320396679832e-06,4.087580263156809e-08,120
1000,164.73684210526318,3.6780999909113987e-06,2.2427211643361034e-08,168,9.796289419661264e-06,5.204112174528319e-08,138
1000,190.5263157894737,3.907033308769847e-06,2.3225272816063125e-08,173,1.1885657281940354e-05,6.298430832440971e-08,166
1000,216.31578947368422,3.723177700254432e-06,2.2007875077889594e-08,169,1.4619508828306316e-05,8.062361811500551e-08,191
1000,242.10526315789474,3.870966268415543e-06,2.3452075614827095e-08,164,1.774780008423349e-05,1.0154005847251568e-07,222
1000,267.89473684210526,5.03038047949822e-06,3.170011808606432e-08,174,2.0395044605270307e-05,1.1545964440085044e-07,253
1000,293.6842105263158,1.688082688988679e-05,5.306547334882339e-08,174,2.326325667889595e-05,1.2906502322440616e-07,296
1000,319.47368421052636,5.1087935653004735e-06,3.0597696487610904e-08,160,2.6022212568976855e-05,1.4362648892429775e-07,325
1000,345.2631578947369,3.612457774693212e-06,2.1797898042130726e-08,167,2.8425425806610782e-05,1.5754847448867793e-07,352
1000,371.0526315789474,3.6477525329203786e-06,2.1916185088954876e-08,162,3.0168191238688635e-05,1.6757493515040522e-07,384
1000,396.8421052631579,3.872878591715256e-06,2.3511248614660474e-08,173,3.186724573711608e-05,1.772840778624385e-07,415
1000,422.63157894736844,4.455206432441017e-06,2.690853140308036e-08,168,3.3370824703782276e-05,1.839901480060746e-07,443
1000,448.42105263157896,4.279945749363634e-06,2.511369245894457e-08,164,3.513011004174782e-05,1.948769861037647e-07,474
1000,474.2105263157895,3.954669188899196e-06,2.1949900896878205e-08,166,3.729570326949094e-05,2.0795432709164174e-07,488
1000,500.0,3.9091273194014065e-06,2.403466359268691e-08,173,3.898702317517433e-05,2.1695159890811055e-07,495
